time,x,y,z,Vx,Vy,Vz
7020.0,5456906.564173938,2849753.2920192513,5451262.192058255,-4081.959601171224,-1314.8357734721544,5040.992577487268
7030.0,5415891.890135999,2836502.961362742,5501476.152367574,-4120.922082754288,-1335.212369396044,5001.743667504811
7040.0,5374489.187635935,2823049.405905756,5551295.9531080965,-4159.565030357979,-1355.4805833978369,4962.161068451317
7050.0,5332701.659897021,2809393.713966168,5600718.269525002,-4197.886868652683,-1375.6395163908956,4922.2472069176765
7060.0,5290532.525855247,2795536.9828336,5649739.801111996,-4235.886030383224,-1395.68827309205,4882.0045060415905
7070.0,5247985.02007981,2781480.318731986,5698357.271577479,-4273.560956123172,-1415.625961902766,4841.4353856472335
7080.0,5205062.392696036,2767224.8367833104,5746567.428812119,-4310.910094033017,-1435.4516947916484,4800.542262388691
7090.0,5161767.909310705,2752771.6609725216,5794367.044857888,-4347.931899622208,-1455.1645871782819,4759.327549897129
7100.0,5118104.850939734,2738121.9241135963,5841752.915878578,-4384.624835515047,-1474.763757818411,4717.793658931637
7110.0,5074076.513938184,2723276.7678167457,5888721.862131859,-4420.987371220439,-1494.2483286904642,4675.942997533707
7120.0,5029686.209932549,2708237.3424567515,5935270.727942882,-4457.017982905491,-1513.6174248834213,4633.777971185299
7130.0,4984937.26575529,2693004.807142415,5981396.381679492,-4492.715153172969,-1532.8701744860323,4591.300982970444
7140.0,4939833.023381576,2677580.3296871074,6027095.715729072,-4528.077370842586,-1552.0057084773844,4548.514433740353
7150.0,4894376.839868188,2661965.0865804083,6072365.646477053,-4563.103130736153,-1571.0231606188247,4505.420722281979
7160.0,4848572.087294562,2646160.262960818,6117203.114287131,-4597.790933466559,-1589.92166734724,4462.022245490002
7170.0,4802422.1527059125,2630167.0525895297,6161605.083483214,-4632.139285230604,-1608.7003676696957,4418.321398542188
7180.0,4755930.438058416,2613986.657825249,6205568.542333149,-4666.146697605667,-1627.3584030594393,4374.320575078092
7190.0,4709100.360166407,2597620.2896000454,6249090.503034244,-4699.811687350219,-1645.8949173532692,4330.022167381066
7200.0,4661935.350651544,2581069.167396227,6292168.001700629,-4733.1327762081755,-1664.309056650274,4285.428566563536
7210.0,4614438.85589392,2564334.519224215,6334798.098352487,-4766.108490717102,-1682.5999692119453,4240.542162755517
7220.0,4566614.336985071,2547417.581601415,6376977.87690719,-4798.737362020249,-1700.7668053636676,4195.365345296322
7230.0,4518465.2696828395,2530319.5995320645,6418704.445172358,-4831.017925682451,-1718.8087173975891,4149.900502929452
7240.0,4469995.144368065,2513041.8264880455,6459974.934840891,-4862.948721509868,-1736.7248594768776,4104.15002400062
7250.0,4421207.466003053,2495585.5243906463,6500786.501487992,-4894.528293373577,-1754.5143875413662,4058.116296658883
7260.0,4372105.754091796,2477951.9635932622,6541136.324570225,-4925.755189037032,-1772.1764592145921,4011.8017090608587
7270.0,4322693.542641897,2460142.4228650164,6581021.607426617,-4956.627959987384,-1789.7102337122346,3965.20864957799
7280.0,4272974.380128153,2442158.189375291,6620439.577281861,-4987.145161270664,-1807.1148717519557,3918.339507006839
7290.0,4222951.82945778,2424000.558679152,6659387.485251626,-5017.305351330852,-1824.38953546465,3871.1966707823785
7300.0,4172629.467937222,2405670.8347036536,6697862.606350025,-5047.107091852823,-1841.5333883071085,3823.7825311942556
7310.0,4122010.887240508,2387170.3297350127,6735862.239499252,-5076.548947609183,-1858.5455949761013,3776.0994796060086
7320.0,4071099.693379126,2368500.3644066313,6773383.70754143,-5105.629486311012,-1875.4253213238867,3728.149908677206
7330.0,4019899.506673368,2349662.267687957,6810424.357252696,-5134.347278462509,-1892.1717342751526,3679.936212588491
